song name,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad,tonal,voice_female,voice_male,instrumental,voice,tempo
Radioactive - Imagine Dragons,0.2927996,0.20136762,0.3484343,0.19573103,0.16536653,0.43768758,0.6928281,0.49954906,0.832805,0.31026936,0.689731,0.1864434,0.81355655,140.0
Ready Steady Go (Korean Style) - Paul Oakenfold,0.57837665,0.042714022,0.39170578,0.5590808,0.23759724,0.45458406,0.4048142,0.33934656,0.888759,0.3481884,0.65181166,0.65081805,0.3491825,128.0
"Ringa Ringa - Devi Sri Prasad, Priya Hemesh",0.52270025,0.27454194,0.12683995,0.35221586,0.3058287,0.688748,0.716618,0.43607065,0.8351352,0.25850695,0.74149305,0.1931266,0.80687326,125.0
Roar - Katy Perry,0.5282978,0.1367046,0.31506464,0.26911023,0.3406985,0.61397696,0.5295848,0.3250534,0.9489271,0.3353559,0.6646442,0.11911367,0.8808861,90.0
Runaway - Aurora,0.14436522,0.5958645,0.011578383,0.11649958,0.095169514,0.14520088,0.97447735,0.89703053,0.84240323,0.52184176,0.4781583,0.07405672,0.9259434,86.0
"Runaway - Laura Brehm, Nikonn",0.6459079,0.08778156,0.13057555,0.58835244,0.074109495,0.48235732,0.8590925,0.66035795,0.9571058,0.5197676,0.48023248,0.25231713,0.7476827,80.0
Running With The Wolves - Aurora,0.16637178,0.34757283,0.06892562,0.14734693,0.10131018,0.28840598,0.905806,0.79714763,0.81498516,0.42923263,0.5707673,0.18718597,0.812814,82.0
"Sadda Dil Vi Tu (Ga Ga Ga Ganpati) - Sachin-Jigar, Hard Kaur",0.4989494,0.07440831,0.41194096,0.41049698,0.15472507,0.69263214,0.6232731,0.30502632,0.9022432,0.37334606,0.6266539,0.23857088,0.76142913,140.0
"Samjhawan - Jawad Ahmad, Toshi Sabri, Arijit Singh, Shreya Ghoshal",0.25833353,0.47953886,0.012526789,0.11420959,0.2828163,0.35729292,0.90293443,0.82845443,0.7471591,0.34482634,0.6551734,0.16998436,0.8300155,54.0
"Sanam Re - Arijit Singh, Mithoon",0.11169288,0.6137729,0.03987199,0.062360216,0.17865884,0.14898147,0.89561826,0.84629047,0.80888975,0.21007425,0.78992575,0.14814791,0.8518521,56.0
"Sapna Jahan - Ajay-Atul, Sonu Nigam, Neeti Mohan",0.07256096,0.70844495,0.0074924477,0.12132729,0.1113507,0.07494265,0.9796022,0.93045634,0.62660366,0.4871977,0.51280236,0.27638322,0.7236166,154.0
"Sawan Aaya Hai - Tony Kakkar, Mithoon, Arijit Singh",0.33260572,0.46424627,0.01343674,0.16733347,0.15635727,0.31361952,0.9257394,0.8198576,0.7655238,0.3095842,0.69041574,0.21995376,0.78004605,80.0
Sceptic Heart - Black Red Gold,0.2300346,0.39946002,0.022819012,0.18059511,0.048957027,0.24015974,0.96275496,0.8745081,0.75800383,0.3164907,0.6835094,0.16866265,0.8313376,67.0
"Senthoora - D Imman, Luksimi Sivaneswaralingam",0.33453292,0.46739683,0.052961834,0.1286669,0.35009378,0.43388695,0.75444585,0.70169765,0.8333002,0.4797621,0.5202379,0.10470113,0.895299,80.0
"Sil Sil Sil Sillala - P Unnikrishnan, Sujatha Mohan",0.5040544,0.3294058,0.040679827,0.22740388,0.37653238,0.50831705,0.7972067,0.64843017,0.8512924,0.36044446,0.6395558,0.13929485,0.8607051,62.0
