song name
"1, 2, 3 (feat Jason Derulo & De La Ghetto) - Sofia Reyes"
"Aaluma Doluma - Anirudh Ravichander, Badshah"
"Ae Ajnabi - Udit Narayan, Mahalakshmi Iyer"
"Aeternum - John Lunn, Eivør"
"Agar Tum Saath Ho - Alka Yagnik, Arijit Singh"
"Ale Ale - AR Rahman, Karthik, Chitra Sivaraman, Siddharth, Genelia D'Souza"
"Annul Maelae - Harris Jayaraj, Sudha Ragunathan"
"Apna Bana Le - Arijit Singh, Sachin-Jigar"
Apocalypse - Cigarettes After Sex
"Arabic Kuthu - Halamithi Habibo - Anirudh Ravichander, Jonita Gandhi"
Armatopia - Johnny Marr
Battle Cry - Imagine Dragons
Battle Symphony - Linkin Park
Believer - Imagine Dragons
Black Water Lilies - Aurora
Blank - Disfigure
Blue Jeans (Remastered 2011) - Lana Del Rey
Bones - Imagine Dragons
Born To Die - Lana Del Rey
Can We Kiss Forever (Instrumental) - Kinà
Can We Kiss Forever - Kinà
"Chahun Main Ya Naa - Palak Muchhal, Arijit Singh"
"Chaiyya Chaiyya - Sukhwinder Singh, Sapna Awasthi"
"Chammak Challo - Vishal & Shekhar, Akon"
Chinna Chinna Asai - Minmini
Chittiyaan Kalaiyaan - Meet Bros
"Chop Shop - Tyler Bates, Joel J Richard"
Cold - Neffex
Crystallize - Lindsey Stirling
"Darkside - Alan Walker, AuRa, Tomine Harket"
Desi Kalakaar - Yo Yo Honey Singh
"Despacito - Luis Fonsi, Daddy Yankee"
"Destiny Is All - John Lunn, Eivør"
"Diamond Heart - Sophia Somajo, Alan Walker"
"Dil Se Re - AR Rahman, Anuradha, Anupama"
"Dilliwaali Girlfriend - Pritam, Arijit Singh, Sunidhi Chauhan"
"Dippam Dappam - Anirudh Ravichander, Anthony Daasan"
Don't Let Me Go - Cigarettes After Sex
Dura - Daddy Yankee
Elangathu solo - Sriram Parthasarathy
"En Sarwame - Nobin Paul, Ananya"
Ennavale Adi Ennavale - P Unnikrishnan
Etho Sayana - Sachin Warrier
Faded - Alan Walker
Fuego Lento - Drake Bell
"Gaandakannazhagi - Anirudh Ravichander, Neeti Mohan"
Galvanize (Edit) - The Chemical Brothers
Gasolina - Daddy Yankee
"Gerua - Pritam, Arijit Singh, Antara Mitra"
Goodbye - Apparat
Goodbye Brother - Ramin Djawadi
Guzarish - Javed Ali
Half The World Away - Aurora
Hamari Adhuri Kahani - Arijit Singh
Harleys In Hawaii - Katy Perry
Heavenly - Cigarettes After Sex
"Helig - John Lunn, Eivør"
"Hosanna - Vijay Prakash, Suzanne D'Mello, AR Rahman, Blaaze"
"Hum Mar Jayenge - Tulsi Kumar, Arijit Singh"
"Hum Naa Rahein Hum - Mithoon, Benny Dayal"
"Humdard - Mithoon, Arijit Singh"
I Don't Do Personals - Ramin Djawadi
"Ichu Ichu - Vijay Antony, Sangeetha Rajeshwaran"
"Ignite - Alan Walker, Julie Bergan, K-391"
"In My Mind - M86, Susie Q"
"In The End (Mellen Gi Remix) - Tommee Profitt, Fleurie, Mellen Gi"
Industry - Mire Kay
"Innum Konjam Naeram - Shweta Mohan, Vijay Prakash, AR Rahman"
Invisible - Julius Dreisig & Zeus X Crona
"Jeevamshamayi - Duet - KS Harisankar, Shreya Ghoshal"
"Jingunamani - Ranjith, Sunidhi Chauhan, D Imman"
"Jiya Jale - Lata Mangeshkar, MG Sreekumar"
K - Cigarettes After Sex
"Kabhi Alvida Naa Kehna - Shankar-Ehsaan-Loy, Sonu Nigam, Alka Yagnik"
"Kal Ho Naa Ho - Shankar-Ehsaan-Loy, Sonu Nigam"
"Kalasala Kalasala - Thaman S, L R Eswari, T Rajendar, Solar Sai"
"Kesariya - Pritam, Arijit Singh, Amitabh Bhattacharya"
"Koi Tumsa Nahin - Sonu Nigam, Shreya Ghoshal"
La Calin (CallmeArco Remix) - Serhat Durmus
Let Her Go - Passenger
Love Me Like You Do - Ellie Goulding
Lungi Dance - Yo Yo Honey Singh
"Lívstræðrir - John Lunn, Eivør"
MAYDAY - TheFatRat
Magenta Riddim - DJ Snake
"Main Tera Boyfriend - Arijit Singh, Neha Kakkar"
"Malai Mangum Neram (Female Unplugged) - Deepthi Balasubramanian, Aakash Srinivasan"
Malai Mangum Neram - Prakash Nikki
"Manasellam Mazhaiye - Sonu Nigam, Saindhavi, GV Prakash Kumar"
"Marana Mass - Anirudh Ravichander, S P Balasubrahmanyam"
Masakali Lofi - Aelo
Mayaanadhi - Shahabaz Aman
Mehabooba - Ananya Bhat
"Mehabooba - Ravi Basrur, Ananya Bhat"
Memories - JFla
"Mental Manadhil - AR Rahman, Jonita Gandhi"
"Mere Haath Mein - Sunidhi Chauhan, Sonu Nigam, Jatin-Lalit, Prasoon Joshi"
"Meri Aashiqui - Palak Muchhal, Arijit Singh"
"Minunundae Mullapolae - Ashwin Renju, Karthik, Manu Manjith, Tovino Thomas, Balu Varghese, Santhy Balachandran, Neha Iyer"
Mizhiyil - Shahabaz Aman
"Mohabbat Barsa De - Arko, Arjun, Arijit Singh, Samira Koppikar"
"Mounam Chorum Neram - Rinu Razak, Shaan Rahman"
"Mundhinam - Prashanthini, Harris Jayaraj, Naresh Iyer"
"Muskurane (Romantic) - Jeet Gannguli, Arijit Singh"
"My England - John Lunn, Eivør"
"Naatu Naatu - Rahul Sipligunj, Kaala Bhairava, M M Keeravani"
Nainowale Ne - Neeti Mohan
"Nanavare - Tessa Chavara, Vipin Lal, Lal"
"Nee Himamazhayayi - Kailas Menon, K S Hari Shankar, Nithya Mammen"
"Neeyen Vennila - Haricharan, Chinmayi Sripada"
Nenjae Yezhu - AR Rahman
"Nenjodu Cherthu - Sreejith - Saachin, Aalaap Raju"
Nervous - The Neighbourhood
No Time for Caution - Hans Zimmer
Nothing's Gonna Hurt You Baby - Cigarettes After Sex
Ollulleru - Praseetha Chalakudy
On My Mind - Ellie Goulding
"On My Way - Alan Walker, Sabrina Carpenter, Farruko"
"One Two Three Four (Get On The Dance Floor) - Vishal & Shekhar, Vishal Dadlani, Hamsika Iyer, Sricharan Kasturirangan"
Only Time - Enya
Oru Dinam - Anand Bhaskar
"Oru Vakkum (Version 1) - Alphons Jospeh, Mridula Warrier"
Oru Vakkum Mindathe - Vineeth Sreenivasan
"Pakka Local - Geetha Madhuri, Sagar"
"Param Sundari - AR Rahman, Shreya Ghoshal"
"Phir Mohabbat - Mohammed Irfan, Arijit Singh, Saim Bhat"
"Pistah - Rajesh Murugesan, Shabareesh Varma"
"Poovukkul - AR Rahman, Sujatha Mohan, P Unnikrishnan"
"Pudhu Vellai Mazhai - Unni Menon, Sujatha Mohan"
